,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
83,HK.09999,2020-10-12 00:00:00,139.69767,141.79767,142.19767,138.79767,21.227,0.00086,2955708,418263905.0,2.828184116526411,137.89767
84,HK.09999,2020-10-14 00:00:00,141.29767,141.89767,141.89767,139.89767,21.242,0.00081,2813899,397631037.0,0.07052302058277425,141.79767
85,HK.09999,2020-10-15 00:00:00,139.69767,136.69767,139.69767,136.59767,20.466,0.00097,3358923,465149958.0,-3.664612674753586,141.89767
86,HK.09999,2020-10-16 00:00:00,135.69767,137.79767,138.89767,135.69767,20.63,0.00086,2966367,409613964.0,0.8046955006621713,136.69767
87,HK.09999,2020-10-19 00:00:00,138.49767,138.59767,138.99767,136.79767,20.749,0.00072,2487060,344514479.0,0.580561340405816,137.79767
88,HK.09999,2020-10-20 00:00:00,135.79767,137.29767,137.29767,134.59767,20.555,0.00112,3882265,529983734.0,-0.9379667060780913,138.59767
89,HK.09999,2020-10-21 00:00:00,137.19767,136.59767,137.39767,136.09767,20.451,0.00064,2194962,300909617.0,-0.5098411356871657,137.29767
90,HK.09999,2020-10-22 00:00:00,134.99767,137.49767,137.49767,134.99767,20.585,0.00055,1898066,260196722.0,0.6588692179010123,136.59767
91,HK.09999,2020-10-23 00:00:00,136.49767,135.39767,136.49767,135.09767,20.271,0.00068,2338251,317467157.0,-1.5272986080418631,137.49767
92,HK.09999,2020-10-27 00:00:00,134.49767,133.99767,135.09767,132.39767,20.062,0.00081,2813575,376612281.0,-1.0339912053139508,135.39767
93,HK.09999,2020-10-28 00:00:00,136.59767,138.09767,138.39767,135.49767,20.675,0.00155,5346264,731180115.0,3.0597546957346307,133.99767
94,HK.09999,2020-10-29 00:00:00,134.69767,135.79767,136.79767,133.79767,20.331,0.00113,3893107,528082023.0,-1.6654879115628691,138.09767
95,HK.09999,2020-10-30 00:00:00,136.69767,134.59767,136.69767,133.09767,20.152,0.00065,2259546,304445101.0,-0.8836675916457306,135.79767
96,HK.09999,2020-11-02 00:00:00,134.69767,133.09767,135.49767,131.99767,19.928,0.0012,4144810,552924930.0,-1.114432367217055,134.59767
97,HK.09999,2020-11-03 00:00:00,131.19767,131.09767,131.59767,129.89767,19.629,0.00099,3435706,450002628.0,-1.5026559067487808,133.09767
98,HK.09999,2020-11-04 00:00:00,131.09767,135.99767,136.89767,130.99767,20.361,0.00181,6256344,847786129.0,3.7376713102528867,131.09767
99,HK.09999,2020-11-05 00:00:00,144.69767,145.89767,146.29767,142.29767,21.84,0.00262,9044774,1311974402.0,7.279536480294115,135.99767
100,HK.09999,2020-11-06 00:00:00,140.99767,141.19767,142.89767,140.49767,21.138,0.00113,3921389,556713097.0,-3.2214359557627046,145.89767
101,HK.09999,2020-11-09 00:00:00,143.69767,144.19767,144.39767,142.69767,21.586,0.00099,3421411,492663520.0,2.124680952596456,141.19767
